Rank,Title,Genre,Number_of_season,Number_of_episodes,Type,Actors,Creators,Origin,Language,Certification,Rating
12,The Last Dance,"[' Documentary', ' Biography', ' History', ' Sport']",1,10 episodes,"TV Mini-Series (2020)
","[' Phil Jackson\n', ' Michael Jordan\n', ' David Aldridge\n', ' Scottie Pippen\n', ' Steve Kerr\n', ' Michael Wilbon\n', ' Deloris Jordan\n', ' Andrea Kremer\n', ' John Paxson\n', ' Bill Wennington\n', ' B.J. Armstrong\n', ' Bob Costas\n', ' Ahmad Rashad\n', ' Jerry Reinsdorf\n', ' Dennis Rodman\n', ' Sam Smith\n', ' David Stern\n', ' Rick Telander\n', ' Mark Vancil\n']",[],['USA'],English,7,9.2
13,Rick et Morty,"[' Animation', ' Adventure', ' Comedy', ' Sci-Fi']",5,42 episodes,"TV Series (2013– )
","[' Justin Roiland\n', ' Chris Parnell\n', ' Spencer Grammer\n', ' Sarah Chalke\n', ' Kari Wahlgren\n', ' Dan Harmon\n', ' Maurice LaMarche\n']","['Dan Harmon', 'Justin Roiland']",['USA'],English,12,9.2
14,"Avatar, le dernier maître de l'air","[' Animation', ' Action', ' Adventure', ' Family', ' Fantasy', ' Mystery']",3,66 episodes,"TV Series (2005–2008)
","[' Zach Tyler\n', ' Jack De Sena\n', ' Dee Bradley Baker\n', ' Mae Whitman\n', ' Dante Basco\n', ' Michaela Jill Murphy\n', ' Mako\n']","['Michael Dante DiMartino', 'Bryan Konietzko']",['USA'],English,T,9.2
15,Les Soprano,"[' Crime', ' Drama']",6,86 episodes,"TV Series (1999–2007)
","[' James Gandolfini\n', ' Lorraine Bracco\n', ' Edie Falco\n', ' Michael Imperioli\n', ' Dominic Chianese\n', ' Steven Van Zandt\n', ' Tony Sirico\n', ' Robert Iler\n', ' Jamie-Lynn Sigler\n', ' Aida Turturro\n', ' Drea de Matteo\n', ' Steve Schirripa\n', ' Dan Grimaldi\n', ' Joseph R. Gannascoli\n', ' John Ventimiglia\n', ' Sharon Angela\n']",['David Chase'],['USA'],Russian,Tous publics,9.2
16,The World at War,"[' Documentary', ' History', ' War']",1,26 episodes,"TV Series (1973–1976)
",[' Laurence Olivier\n'],[],['UK'],Japanese,,9.2
17,"Life, l'aventure de la vie",[' Documentary'],1,11 episodes,"TV Mini-Series (2009)
","[' Oprah Winfrey\n', ' David Attenborough\n']",[],"['UK', 'USA', 'Greece', 'Italy', 'Germany']",English,Tous publics,9.1
18,Fullmetal Alchemist: Brotherhood,"[' Animation', ' Action', ' Adventure', ' Comedy', ' Drama', ' Fantasy', ' Sci-Fi']",1,69 episodes,"TV Series (2009–2012)
","[' Kent Williams\n', ' Iemasa Kayumi\n', ' Vic Mignogna\n', ' Muriel Hofmann\n', ' Lili Troncale\n', ' Romi Pak\n', ' Maxey Whitehead\n', ' Rie Kugimiya\n', ' Travis Willingham\n', "" Shin'ichirô Miki\n"", ' Colleen Clinkenbeard\n', ' Fumiko Orikasa\n', ' J. Michael Tatum\n', ' Kenta Miyake\n', ' Yuki Hayashi\n', ' Caitlin Glass\n', ' Monica Rial\n', ' Megumi Takamoto\n', ' Scott Freeman\n', ' Mai Gotou\n', ' Christopher Sabat\n', ' Tia Lynn Ballard\n', ' Todd Haberkorn\n', ' Ed Blaylock\n', ' Kenji Utsumi\n', ' Hidekatsu Shibata\n', ' Mamoru Miyano\n']",['Hiromu Arakawa'],['Japan'],Japanese,Tous publics,9.1
19,Sherlock,"[' Crime', ' Drama', ' Mystery', ' Thriller']",4,15 episodes,"TV Series (2010–2017)
","[' Benedict Cumberbatch\n', ' Martin Freeman\n', ' Una Stubbs\n', ' Rupert Graves\n', ' Louise Brealey\n', ' Mark Gatiss\n', ' Andrew Scott\n', ' Amanda Abbington\n', ' Jonathan Aris\n']","['Mark Gatiss', 'Steven Moffat']","['UK', 'USA']",English,Tous publics,9.1
20,The Vietnam War,"[' Documentary', ' History', ' War']",1,10 episodes,"TV Mini-Series (2017)
","[' Peter Coyote\n', ' Huy Duc\n', ' James Willbanks\n', ' Duong Van Mai Elliott\n', ' John Musgrave\n', ' Phan Quang Tue\n', ' Karl Marlantes\n', ' Nguyen Ngoc\n', ' Bao Ninh\n', ' Bill Zimmerman\n', ' Leslie Gelb\n', ' Hal Kushner\n', ' Roger Harris\n', ' Carol Crocker\n', "" Tim O'Brien\n"", ' Jack Todd\n', ' Bui Diem\n', ' Robert Gard\n', ' Neil Sheehan\n', ' Bill Ehrhart\n', ' Ron Ferrizzi\n']",[],[],,,9.1
21,La quatrième dimension,"[' Drama', ' Fantasy', ' Horror', ' Mystery', ' Sci-Fi', ' Thriller']",5,156 episodes,"TV Series (1959–1964)
",[' Rod Serling\n'],['Rod Serling'],['USA'],English,Tous publics,9.0
