Rank,Title,Genre,Number_of_season,Number_of_episodes,Type,Actors,Creators,Origin,Language,Certification,Rating
43,The Office,[' Comedy'],9,188 episodes,"TV Series (2005–2013)
","[' Rainn Wilson\n', ' John Krasinski\n', ' Jenna Fischer\n', ' Leslie David Baker\n', ' Brian Baumgartner\n', ' Angela Kinsey\n', ' Phyllis Smith\n', ' Kate Flannery\n', ' Creed Bratton\n', ' Oscar Nuñez\n', ' B.J. Novak\n', ' Mindy Kaling\n', ' Ed Helms\n', ' Paul Lieberstein\n', ' Steve Carell\n', ' Craig Robinson\n', ' Ellie Kemper\n']","['Greg Daniels', 'Ricky Gervais', 'Stephen Merchant']",['USA'],English,13,8.9
44,Friends,"[' Comedy', ' Romance']",10,235 episodes,"TV Series (1994–2004)
","[' Jennifer Aniston\n', ' Courteney Cox\n', ' Lisa Kudrow\n', ' Matt LeBlanc\n', ' Matthew Perry\n', ' David Schwimmer\n', ' James Michael Tyler\n']","['David Crane', 'Marta Kauffman']",['USA'],French,Tous publics,8.9
45,Le bateau,"[' Drama', ' Thriller', ' War']",1,3 episodes,"TV Mini-Series (1985–1987)
","[' Jürgen Prochnow\n', ' Herbert Grönemeyer\n', ' Klaus Wennemann\n', ' Hubertus Bengsch\n', ' Martin Semmelrogge\n', ' Bernd Tauber\n', ' Erwin Leder\n', ' Martin May\n', ' Heinz Hoenig\n', ' Uwe Ochsenknecht\n', ' Claude-Oliver Rudolph\n', ' Jan Fedder\n', ' Ralf Richter\n', ' Joachim Bernhard\n', ' Oliver Stritzel\n', ' Konrad Becker\n', ' Lutz Schnell\n', ' Martin Hemme\n', ' Wilhelm Pietsch\n', ' Helmut Neumeier\n', ' Dirk Salomon\n', ' Jean-Claude Hoffmann\n', ' Arno Kral\n', ' Maryline Moulard\n', ' Rita Cadillac\n', ' Otto Sander\n', ' Günter Lamprecht\n']",[],"['West Germany', 'France', 'UK', 'Italy']",German,,8.8
46,Monty Python's Flying Circus,[' Comedy'],4,45 episodes,"TV Series (1969–1974)
","[' Graham Chapman\n', ' Eric Idle\n', ' Terry Jones\n', ' Michael Palin\n', ' Terry Gilliam\n', ' John Cleese\n', ' Carol Cleveland\n']","['Graham Chapman', 'Eric Idle', 'Terry Jones']",['UK'],Spanish,,8.8
47,Seinfeld,[' Comedy'],9,172 episodes,"TV Series (1989–1998)
","[' Jerry Seinfeld\n', ' Jason Alexander\n', ' Michael Richards\n', ' Julia Louis-Dreyfus\n', ' Ruth Cohen\n']","['Larry David', 'Jerry Seinfeld']",['USA'],English,Tous publics,8.8
48,Souvenirs de Gravity Falls,"[' Animation', ' Action', ' Adventure', ' Comedy', ' Family', ' Fantasy', ' Mystery', ' Sci-Fi']",2,40 episodes,"TV Series (2012–2016)
","[' Jason Ritter\n', ' Alex Hirsch\n', ' Kristen Schaal\n', ' Linda Cardellini\n', ' Kevin Michael Richardson\n', ' Matt Chapman\n', ' Kari Wahlgren\n', ' John DiMaggio\n']",['Alex Hirsch'],['USA'],English,Tous publics,8.9
49,Orgueil et préjugés,"[' Drama', ' Romance']",1,6 episodes,"TV Mini-Series (1995)
","[' Jennifer Ehle\n', ' Colin Firth\n', ' Susannah Harker\n', ' Julia Sawalha\n', ' Alison Steadman\n', ' Benjamin Whitrow\n', ' Crispin Bonham-Carter\n', ' Polly Maberly\n', ' Lucy Briers\n', ' Anna Chancellor\n', ' Lucy Robinson\n', ' Adrian Lukis\n', ' David Bamber\n', ' Lucy Scott\n', ' Lucy Davis\n', ' Emilia Fox\n', ' Marlene Sidaway\n', ' Barbara Leigh-Hunt\n', ' Tim Wylton\n', ' Rupert Vansittart\n', ' Joanna David\n', ' Nadia Chambers\n', ' David Bark-Jones\n', ' Lynn Farleigh\n', ' Christopher Benjamin\n', ' Roger Barclay\n', "" Kate O'Malley\n"", ' Norma Streader\n', ' Paul Moriarty\n', ' Victoria Hamilton\n', ' Anthony Calf\n', ' Sarah Legg\n', ' Annabel Taylor\n', ' Harriet Eastcott\n', ' Natasha Isaacs\n', ' Marie-Louise Flamank\n', ' Roy Holder\n', ' Julian Erleigh\n', ' Neville Phillips\n', ' Christopher Staines\n', ' Jacob Casselden\n']",[],['UK'],English,,8.8
50,How the Universe Works,[' Documentary'],8,77 episodes,"TV Series (2010– )
","[' Phil Plait\n', ' Michelle Thaller\n', ' Mike Rowe\n', ' Hakeem Oluseyi\n', ' Lawrence Krauss\n', ' James S. Bullock\n', ' Moogega Cooper\n']",[],['USA'],English,,8.9
51,Black Mirror,"[' Drama', ' Sci-Fi', ' Thriller']",5,22 episodes,"TV Series (2011– )
","[' Daniel Lapaine\n', ' Hannah John-Kamen\n', ' Michaela Coel\n', ' Beatrice Robertson-Jones\n', ' Charles Babalola\n']",['Charlie Brooker'],['UK'],English,16,8.8
52,Twin Peaks,"[' Crime', ' Drama', ' Mystery', ' Thriller']",2,30 episodes,"TV Series (1990–1991)
","[' Kyle MacLachlan\n', ' Michael Ontkean\n', ' Mädchen Amick\n', ' Dana Ashbrook\n', ' Richard Beymer\n', ' Lara Flynn Boyle\n', ' Sherilyn Fenn\n', ' Warren Frost\n', ' Peggy Lipton\n', ' James Marshall\n', ' Everett McGill\n', ' Jack Nance\n', ' Joan Chen\n', ' Kimmy Robertson\n', ' Michael Horse\n', ' Piper Laurie\n', ' Harry Goaz\n', ' Eric DaRe\n', ' Wendy Robie\n', ' Ray Wise\n', ' Sheryl Lee\n', ' Russ Tamblyn\n', ' Don S. Davis\n', ' Chris Mulkey\n', ' Gary Hershberger\n', ' Grace Zabriskie\n']","['Mark Frost', 'David Lynch']",['USA'],Norwegian,Tous publics,8.8
53,Nathan for You,"[' Documentary', ' Comedy']",4,32 episodes,"TV Series (2013–2017)
",[' Nathan Fielder\n'],"['Nathan Fielder', 'Michael Koman']",['USA'],English,,8.8
54,La Forêt de l'Étrange,"[' Animation', ' Adventure', ' Drama', ' Family', ' Fantasy', ' Horror', ' Mystery', ' Thriller']",1,10 episodes,"TV Mini-Series (2014)
","[' Elijah Wood\n', ' Collin Dean\n', ' Melanie Lynskey\n']","['Katie Krentz', 'Patrick McHale']",['USA'],English,,8.8
55,One Punch Man,"[' Animation', ' Action', ' Comedy', ' Fantasy', ' Sci-Fi']",2,24 episodes,"TV Series (2015– )
","[' Makoto Furukawa\n', ' Kaito Ishikawa\n', ' Max Mittelman\n', ' Zach Aguilar\n', ' Hiromichi Tezuka\n', ' Robbie Daymond\n', ' Kyle Hebert\n', ' Shôta Yamamoto\n', ' Yôji Ueda\n', ' Sean Chiplock\n', ' Yoshiaki Hasegawa\n', ' Kirk Thornton\n', "" Shin'ya Hamazoe\n"", ' Bill Rogers\n', ' Hikaru Midorikawa\n', ' Ben Lepley\n', ' Ben Pronsky\n', ' Koichi Soma\n', ' Patrick Seitz\n']",[],['Japan'],English,12,8.8
56,Narcos,"[' Biography', ' Crime', ' Drama', ' Thriller']",3,30 episodes,"TV Series (2015–2017)
","[' Pedro Pascal\n', ' Wagner Moura\n', ' Boyd Holbrook\n', ' Alberto Ammann\n', ' Paulina Gaitan\n', ' Juan Murcia\n', ' Jorge Monterrosa\n', ' Damián Alcázar\n', ' Francisco Denis\n', ' Raúl Méndez\n', ' Juan Sebastián Calero\n', ' Paulina García\n', ' Diego Cataño\n', ' Brett Cullen\n', ' Julián Díaz\n', ' Joanna Christie\n']","['Carlo Bernard', 'Chris Brancato', 'Doug Miro']","['USA', 'Colombia', 'Mexico']",Spanish,12,8.8
57,Peaky Blinders,"[' Crime', ' Drama']",7,37 episodes,"TV Series (2013– )
","[' Cillian Murphy\n', ' Paul Anderson\n', ' Helen McCrory\n', ' Sophie Rundle\n', ' Ned Dennehy\n', ' Finn Cole\n', ' Ian Peck\n', ' Harry Kirton\n', ' Joe Cole\n', "" Natasha O'Keeffe\n"", ' Packy Lee\n', ' Annabelle Wallis\n', ' Kate Phillips\n', ' Tony Pitts\n', ' Aimee-Ffion Edwards\n', ' Jordan Bolger\n']",['Steven Knight'],['UK'],Irish,10,8.8
58,Blackadder Goes Forth,"[' Comedy', ' War']",1,6 episodes,"TV Series (1989)
","[' Rowan Atkinson\n', ' Tony Robinson\n', ' Stephen Fry\n', ' Hugh Laurie\n', ' Tim McInnerny\n']",[],['UK'],English,,8.8
59,Freaks & Geeks,"[' Comedy', ' Drama']",1,18 episodes,"TV Series (1999–2000)
","[' Linda Cardellini\n', ' John Francis Daley\n', ' James Franco\n', ' Samm Levine\n', ' Seth Rogen\n', ' Jason Segel\n', ' Martin Starr\n', ' Becky Ann Baker\n', ' Joe Flaherty\n', ' Busy Philipps\n', ' Jerome Elston Scott\n', ' Steve Bannos\n', ' Dave Allen\n', ' Sarah Hagan\n', ' Jerry Messing\n', ' Natasha Melnick\n', ' Stephen Lea Sheppard\n', ' Chauncey Leopardi\n']",['Paul Feig'],['USA'],English,12,8.8
60,L'attaque des titans,"[' Animation', ' Action', ' Adventure', ' Drama', ' Fantasy', ' Horror']",4,69 episodes,"TV Series (2013– )
","[' Marina Inoue\n', ' Yûki Kaji\n', ' Yui Ishikawa\n', ' Josh Grelle\n', ' Bryce Papenbrook\n', ' Trina Nishimura\n', ' Kishô Taniyama\n', ' Hiro Shimono\n', ' Clifford Chapin\n', ' Hiroshi Kamiya\n', ' Daisuke Ono\n', ' Yû Kobayashi\n', ' Mike McFarland\n', ' Romi Pak\n', ' Ashly Burch\n', ' Matthew Mercer\n', ' J. Michael Tatum\n', ' Jessica Calvello\n', ' Yoshimasa Hosoya\n', ' Shiori Mikami\n', ' Robert McCollum\n', ' Bryn Apprill\n']",[],['Japan'],Japanese,16,8.8
61,L'hôtel en folie,[' Comedy'],2,12 episodes,"TV Series (1975–1979)
","[' John Cleese\n', ' Prunella Scales\n', ' Andrew Sachs\n', ' Connie Booth\n', ' Ballard Berkeley\n', ' Gilly Flower\n', ' Renee Roberts\n', ' Brian Hall\n']",[],['UK'],Spanish,,8.7
62,Senke nad Balkanom,"[' Crime', ' Drama', ' Thriller']",2,20 episodes,"TV Series (2017– )
","[' Andrija Kuzmanovic\n', ' Marija Bergam\n', ' Dragan Bjelogrlic\n', ' Jovana Stojiljkovic\n', ' Nenad Jezdic\n', ' Gordan Kicic\n', ' Goran Bogdan\n', ' Aleksandar Gligoric\n', ' Nebojsa Dugalic\n', ' Aleksandar Stojkovic\n', "" Slobodan 'Boda' Ninkovic\n"", ' Branimir Brstina\n', ' Marko Zivic\n', ' Milos Samolov\n', "" Srdjan 'Zika' Todorovic\n"", ' Toni Mihajlovski\n', ' Petre Arsovski\n', "" Vojislav 'Voja' Brajovic\n"", ' Djordje Kukuljica\n', ' Miodrag Fisekovic\n', ' Anja Mit\n', ' Milivoje Stanimirovic\n', ' Ljubomir Nikolic\n', ' Nikola Djuricko\n', ' Marko Gvero\n', ' Sandra Bugarski\n', ' Marko Grabez\n', ' Natasa Ninkovic\n', ' Bojan Navojec\n', ' Milos Timotijevic\n', ' Bogdan Diklic\n', ' Leona Paraminski\n', ' Vesna Trivalic\n', ' Aleksej Bjelogrlic\n', ' Aksel Mehmet\n']",['Dragan Bjelogrlic'],['Serbia'],Slovenian,,9.1
63,Chappelle's Show,"[' Comedy', ' Music']",3,33 episodes,"TV Series (2003–2006)
","[' Dave Chappelle\n', ' Donnell Rawlings\n', ' Rudy Rush\n', ' Charlie Murphy\n', ' Neal Brennan\n']","['Neal Brennan', 'Dave Chappelle']",['USA'],English,,8.7
64,Stranger Things,"[' Drama', ' Fantasy', ' Horror', ' Mystery', ' Sci-Fi', ' Thriller']",4,33 episodes,"TV Series (2016– )
","[' Winona Ryder\n', ' David Harbour\n', ' Finn Wolfhard\n', ' Millie Bobby Brown\n', ' Gaten Matarazzo\n', ' Caleb McLaughlin\n', ' Natalia Dyer\n', ' Charlie Heaton\n', ' Joe Keery\n', ' Cara Buono\n', ' Noah Schnapp\n', ' Sadie Sink\n', ' Priah Ferguson\n', ' Dacre Montgomery\n', ' Maya Hawke\n', ' Brett Gelman\n', ' Joe Chrest\n']","['Matt Duffer', 'Ross Duffer']",['USA'],Russian,16,8.8
65,Philadelphia,[' Comedy'],15,154 episodes,"TV Series (2005– )
","[' Charlie Day\n', ' Glenn Howerton\n', ' Rob McElhenney\n', ' Kaitlin Olson\n', ' Danny DeVito\n']","['Glenn Howerton', 'Rob McElhenney']",['USA'],English,10,8.8
66,Mahabharat,"[' Drama', ' History', ' War']",1,94 episodes,"TV Series (1988–1990)
","[' Harish Bhimani\n', ' Nitish Bharadwaj\n', ' Mukesh Khanna\n', ' Gajendra Chouhan\n', ' Praveen Kumar\n', ' Arjun\n', ' Rupa Ganguly\n', ' Puneet Issar\n', ' Pankaj Dheer\n', ' Gufi Paintal\n', ' Girja Shankar\n', ' Surendra Pal\n', ' Renuka Israni\n', ' Nazneen\n', ' Virendra Razdan\n', ' Vinod Kapoor\n', ' Sameer Chitre\n', ' Sanjeev Chitre\n', ' Pradeep Singh Rawat\n', ' Sagar Salunke\n', ' Aloka Mukerjee\n', ' Rishabh Shukla\n', ' Kiran Juneja\n', ' Debashree Roy\n', ' Tarakesh Chauhan\n', ' Roma Manik\n', ' Mayur Verma\n', ' Varsha Usgaonkar\n', ' Dharmesh Tiwari\n', ' Pradeep Sharma\n', ' Arun Bakshi\n', ' Paintal\n', ' Kapil Kumar\n', ' Rajesh Vivek\n', ' Channa Ruparel\n', ' Parijat\n', ' Goga Kapoor\n', ' Sheela Sharma\n', ' Raj Babbar\n', ' Sudesh Berry\n', ' Jahnavi\n', ' Manju Vyas\n', ' Rasik Dave\n', ' Meena Chakraborty\n', ' Menaka Babbar\n', ' Lalit Tiwari\n', ' Razak Khan\n', ' Rana Jung Bahadur\n', ' Deep Dhillon\n', ' Ashok Sharma\n', ' Samir Rajda\n', ' Pawan Shukla\n', ' Karunakar Pathak\n', ' Vikash Prasad\n', ' Daboo Malik\n', ' Dinesh Anand\n', ' Vishnu Sharma\n', ' Dara Singh\n', ' Sharat Saxena\n']",[],['India'],Hindi,,9.0
67,Kota Factory,"[' Comedy', ' Drama']",1,5 episodes,"TV Series (2019)
","[' Mayur More\n', ' Jitendra Kumar\n', ' Ranjan Raj\n', ' Revathi Pillai\n', ' Alam Khan\n', ' Urvi Singh\n', ' Ahsaas Channa\n', ' Harish Peddinti\n', ' Arun Kumar\n', ' Avi Singh\n', ' Sachin Srivastava\n']",['Saurabh Khanna'],['India'],Hindi,,9.1
68,Vratice se rode,"[' Comedy', ' Crime', ' Drama', ' Romance']",1,25 episodes,"TV Series (2007–2008)
","[' Nikola Djuricko\n', ' Dragan Bjelogrlic\n', "" Srdjan 'Zika' Todorovic\n"", ' Ljubomir Bandovic\n', ' Mira Banjac\n', ' Goran Radakovic\n', ' Branimir Brstina\n', ' Mirjana Karanovic\n', ' Boris Komnenic\n', ' Novak Bilbija\n', ' Nikola Kojo\n', ' Miodrag Radovanovic\n', ' Marina Vodenicar\n', ' Branislav Lecic\n', ' Vanja Milacic\n', ' Sanja Radisic\n', ' Sasa Petrovic\n', ' Gordana Djurdjevic\n', "" Radoslav 'Rale' Milenkovic\n""]",[],['Serbia'],Serbian,,9.0
69,Arrested development - Les nouveaux pauvres,[' Comedy'],5,84 episodes,"TV Series (2003– )
","[' Jason Bateman\n', ' Portia de Rossi\n', ' Will Arnett\n', ' Michael Cera\n', ' Alia Shawkat\n', ' Tony Hale\n', ' David Cross\n', ' Jeffrey Tambor\n', ' Jessica Walter\n', ' Ron Howard\n']",['Mitchell Hurwitz'],['USA'],English,Tous publics,8.7
70,Rome,"[' Action', ' Drama', ' History', ' Romance', ' War']",2,22 episodes,"TV Series (2005–2007)
","[' Kevin McKidd\n', ' Ray Stevenson\n', ' Polly Walker\n', ' Kerry Condon\n', ' James Purefoy\n', ' Ian McNeice\n', ' Coral Amiga\n', ' Lindsay Duncan\n', ' Lidia Biondi\n', ' Tobias Menzies\n', ' Nicholas Woodeson\n', ' David Bamber\n', ' Chiara Mastalli\n', ' Manfredi Aliquo\n', ' Indira Varma\n', ' Suzanne Bertish\n', ' Max Pirkis\n', ' Lee Boardman\n', ' Esther Hall\n', ' Ciarán Hinds\n', ' Anna Fausta Primiano\n', ' Michael Nardone\n']","['Bruno Heller', 'William J. MacDonald', 'John Milius']","['UK', 'USA']",English,Tous publics,8.7
71,Dragon Ball Z,"[' Animation', ' Action', ' Adventure', ' Comedy', ' Drama', ' Fantasy', ' Sci-Fi', ' Thriller']",1,291 episodes,"TV Series (1989–1996)
","[' Jôji Yanami\n', ' Kyle Hebert\n', ' Masako Nozawa\n', ' Christopher Sabat\n', ' Sean Schemmel\n', ' Mayumi Tanaka\n', ' Sonny Strait\n', ' Stephanie Nadolny\n', ' Toshio Furukawa\n', ' Ryô Horikawa\n', ' Hiromi Tsuru\n', ' Tiffany Vollmer\n', ' Mike McFarland\n', ' Cynthia Cranz\n', ' Hirotaka Suzuoki\n', ' Daisuke Gôri\n', ' Takeshi Kusao\n', ' Tôru Furuya\n']",[],['Japan'],Japanese,Tous publics,8.7
72,À la maison blanche,[' Drama'],7,155 episodes,"TV Series (1999–2006)
","[' Allison Janney\n', ' John Spencer\n', ' Bradley Whitford\n', ' Martin Sheen\n', ' Janel Moloney\n', ' Richard Schiff\n', ' Dulé Hill\n', ' NiCole Robinson\n', ' Melissa Fitzgerald\n', ' Rob Lowe\n', ' Joshua Malina\n', ' Stockard Channing\n']",['Aaron Sorkin'],['USA'],English,Tous publics,8.8
73,Steins;Gate,"[' Animation', ' Comedy', ' Drama', ' Romance', ' Sci-Fi', ' Thriller']",1,26 episodes,"TV Series (2011–2015)
","[' Mamoru Miyano\n', ' Asami Imai\n', ' Kana Hanazawa\n', ' Ashly Burch\n', ' Trina Nishimura\n', ' J. Michael Tatum\n', ' Tomokazu Seki\n', ' Tyson Rinehart\n', ' Cherami Leigh\n', ' Yukari Tamura\n', ' Saori Gotô\n', ' Yû Kobayashi\n', ' Masaki Terasoma\n', ' Jessica Cavanagh\n']",[],['Japan'],English,,8.8
74,Leyla ile Mecnun,"[' Adventure', ' Comedy', ' Drama', ' Fantasy', ' Mystery', ' Romance']",3,104 episodes,"TV Series (2011–2014)
","[' Ali Atay\n', ' Ahmet Mümtaz Taylan\n', ' Serkan Keskin\n', ' Osman Sonant\n', ' Ege Tanman\n', ' Cengiz Bozkurt\n', ' Köksal Engür\n', ' Nalan Kuruçim\n', ' Engin Günay\n', ' Neslihan Aker\n', ' Istar Gökseven\n', ' Sebahat Adalar\n', ' Mehmet Usta\n', ' Ipek Türktan\n', ' Güliz Gençoglu\n', ' Acelya Devrim Yilhan\n', ' Ayse Selen\n', ' Sarp Aydinoglu\n', ' Mustafa Asik\n', ' Melis Birkan\n']",[],['Turkey'],Turkish,,9.1
75,Dark,"[' Crime', ' Drama', ' Mystery', ' Sci-Fi', ' Thriller']",3,Tomorrow,"TV Series (2017–2020)
","[' Karoline Eichhorn\n', ' Louis Hofmann\n', ' Jördis Triebel\n', ' Stephan Kampwirth\n', ' Maja Schöne\n', ' Tamar Pelzig\n', ' Oliver Masucci\n', ' Andreas Pietschmann\n', ' Moritz Jahn\n', ' Peter Benedict\n', ' Deborah Kaufmann\n', ' Christian Hutcherson\n', ' Lisa Vicari\n', ' Paul Lux\n', ' Gina Stiebitz\n', ' Will Beinbrink\n', ' Daan Lennard Liebrenz\n', ' Carlotta von Falkenhayn\n', ' Mark Waschke\n', ' Leopold Hornung\n', ' Julika Jenkins\n', ' Christian Pätzold\n', ' Anne Ratte-Polle\n', ' Tatja Seibt\n', ' Shani Atias\n', ' Lydia Makrides\n', ' Lisa Kreuzer\n', ' Walter Kreye\n', ' Dietrich Hollinderbäumer\n', ' Christian Steyer\n']","['Baran bo Odar', 'Jantje Friese']","['Germany', 'USA']",German,16,8.8
76,Oz,"[' Crime', ' Drama', ' Thriller']",6,56 episodes,"TV Series (1997–2003)
","[' Ernie Hudson\n', ' J.K. Simmons\n', ' Lee Tergesen\n', ' Dean Winters\n', ' George Morfogen\n', ' Terry Kinney\n', ' Rita Moreno\n', ' Harold Perrineau\n', ' Eamonn Walker\n', ' Craig muMs Grant\n', ' Luna Lauren Velez\n', ' Granville Adams\n', ' Tom Mardirosian\n', ' Kirk Acevedo\n', ' BD Wong\n', ' Chuck Zito\n', ' Philip Scozzarella\n', ' Scott William Winters\n', ' Otto Sanchez\n', ' Christopher Meloni\n', ' Robert Clohessy\n', ' R.E. Rodgers\n', ' Kristin Rohde\n', ' Carl DiMaggio\n', ' Evan Seinfeld\n', ' Adewale Akinnuoye-Agbaje\n', ' Timothy L. Brown\n', ' Sean Dugan\n', ' Zeljko Ivanek\n', ' Steven Wishnoff\n', ' David Zayas\n', ' Anthony Chisholm\n', ' Edie Falco\n', ' J.D. Williams\n']",['Tom Fontana'],['USA'],English,10,8.7
77,Dragon Ball Z,"[' Animation', ' Action', ' Adventure', ' Fantasy', ' Sci-Fi', ' Thriller']",16,277 episodes,"TV Series (1996–2003)
","[' Doc Harris\n', ' Christopher Sabat\n', ' Scott McNeil\n', ' Sean Schemmel\n', ' Terry Klassen\n', ' Brian Drummond\n', ' Sonny Strait\n', ' Stephanie Nadolny\n', ' Don Brown\n', ' Tiffany Vollmer\n', ' Dale Kelly\n', ' Cathy Weseluck\n', ' Jillian Michaels\n', ' Kyle Hebert\n', ' Michael Dobson\n', ' Kirby Morrow\n', ' Ted Cole\n', ' Cynthia Cranz\n', ' Mike McFarland\n', ' Chris Rager\n', ' Lisa Ann Beley\n']",[],"['Japan', 'USA', 'Canada']",English,12,8.7
78,House of Cards,[' Drama'],6,73 episodes,"TV Series (2013–2018)
","[' Robin Wright\n', ' Michael Kelly\n', ' Kevin Spacey\n', ' Justin Doescher\n', ' Derek Cecil\n', ' Jayne Atkinson\n', ' Nathan Darrow\n', ' Mahershala Ali\n', ' Boris McGiver\n']",['Beau Willimon'],['USA'],English,Tous publics,8.7
79,Still Game,[' Comedy'],9,63 episodes,"TV Series (2002–2019)
","[' Ford Kiernan\n', ' Greg Hemphill\n', ' Paul Riley\n', ' Gavin Mitchell\n', ' Mark Cox\n', ' Jane McCarry\n', ' Sanjeev Kohli\n', ' James Martin\n', ' Irene Ann Burt\n', ' Shamshad Akhtar\n']",[],['UK'],English,,8.9
80,Vinland Saga,"[' Animation', ' Action', ' Adventure', ' History']",1,24 episodes,"TV Series (2019)
","[' Naoya Uchida\n', ' Hiroki Yasumoto\n', ' Yûto Uemura\n', ' Kenshô Ono\n', ' Akio Ôtsuka\n', ' Atsushi Ono\n', ' Satoshi Hino\n', ' Takayuki Sugô\n', ' Yôji Ueda\n']",[],['Japan'],Japanese,,8.8
81,Cobra Kai,"[' Action', ' Comedy', ' Drama', ' Sport']",3,2020,"TV Series (2018– )
","[' Xolo Maridueña\n', ' Ralph Macchio\n', ' William Zabka\n', ' Courtney Henggeler\n', ' Tanner Buchanan\n', ' Mary Mouser\n', ' Jacob Bertrand\n', ' Nichole Brown\n', ' Gianni Decenzo\n', ' Owen Morgan\n', ' Hannah Kepple\n', ' Martin Kove\n', ' Cameron Markeles\n', ' Asher Sheets\n', ' Griffin Santopietro\n', ' Aldan Karanovich\n', ' Vanessa Rubio\n', ' Aedin Mincks\n']",[],['USA'],English,16,8.8
82,"I, Claudius","[' Biography', ' Drama', ' History']",1,13 episodes,"TV Mini-Series (1976)
","[' Derek Jacobi\n', ' George Baker\n', ' Margaret Tyzack\n', ' Siân Phillips\n', ' Brian Blessed\n', ' James Faulkner\n']",[],['UK'],German,,8.7
83,Better Call Saul,"[' Crime', ' Drama']",6,2021,"TV Series (2015– )
","[' Bob Odenkirk\n', ' Jonathan Banks\n', ' Rhea Seehorn\n', ' Patrick Fabian\n', ' Michael Mando\n', ' Michael McKean\n', ' Giancarlo Esposito\n']","['Vince Gilligan', 'Peter Gould']",['USA'],Vietnamese,Tous publics avec avertissement,8.7
84,Larry et son nombril,[' Comedy'],10,100 episodes,"TV Series (2000– )
","[' Larry David\n', ' Jeff Garlin\n', ' Cheryl Hines\n', ' Susie Essman\n']",['Larry David'],['USA'],English,10,8.7
85,La fabuleuse Mme Maisel,"[' Comedy', ' Drama']",4,2020,"TV Series (2017– )
","[' Rachel Brosnahan\n', ' Alex Borstein\n', ' Michael Zegen\n', ' Marin Hinkle\n', ' Tony Shalhoub\n', ' Nunzio Pascale\n', ' Matteo Pascale\n', ' Kevin Pollak\n', ' Matilda Szydagis\n', ' Brian Tarantina\n', ' Caroline Aaron\n', ' Joel Johnstone\n', ' Bailey De Young\n', ' Cynthia Darlow\n']",['Amy Sherman-Palladino'],['USA'],English,18,8.7
86,One Strange Rock,[' Documentary'],2,11 episodes,"TV Series (2018– )
","[' Will Smith\n', ' Chris Hadfield\n', ' Jerry Linenger\n', ' Mae C. Jemison\n', ' Nicole Stott\n', ' Leland Melvin\n', ' Michael Massimino\n', ' Jeff Hoffman\n']",[],['USA'],Kazakh,,8.8
87,Fleabag,"[' Comedy', ' Drama']",2,12 episodes,"TV Series (2016–2019)
","[' Phoebe Waller-Bridge\n', ' Sian Clifford\n', ' Olivia Colman\n', ' Jenny Rainsford\n', ' Bill Paterson\n', ' Brett Gelman\n', ' Andrew Scott\n', ' Hugh Skinner\n', ' Ben Aldridge\n']",['Phoebe Waller-Bridge'],['UK'],English,18,8.7
88,Sarabhai vs Sarabhai,[' Comedy'],2,79 episodes,"TV Series (2004–2017)
","[' Satish Shah\n', ' Ratna Pathak Shah\n', ' Sumeet Raghvan\n', ' Rupali Ganguly\n', ' Rajesh Kumar\n', ' Ghanshyam Nayak\n', ' Deven Bhojani\n']",[],['India'],English,,8.9
89,The Boys,"[' Action', ' Comedy', ' Crime', ' Sci-Fi']",3,17 episodes,"TV Series (2019– )
","[' Karl Urban\n', ' Jack Quaid\n', ' Antony Starr\n', ' Erin Moriarty\n', ' Dominique McElligott\n', ' Jessie T. Usher\n', ' Laz Alonso\n', ' Chace Crawford\n', ' Tomer Capon\n', ' Karen Fukuhara\n', ' Nathan Mitchell\n', ' Elisabeth Shue\n', ' Jennifer Esposito\n', ' Colby Minifie\n', ' Cameron Crovetti\n', ' Simon Pegg\n', ' Shaun Benson\n', ' Christian Keyes\n', ' Nneka Elliott\n', ' Alex Hassell\n', ' Shantel VanSanten\n', ' Malcolm Barrett\n', ' Ann Cusack\n', ' Jordana Lajoie\n', ' Brittany Allen\n', ' Jess Salgueiro\n', ' Mishka Thébaud\n', ' Haley Joel Osment\n', ' Billy Zane\n', ' David Andrews\n', ' David Reale\n', ' Laila Robins\n', ' Brendan Beiser\n', ' Nicola Correia-Damude\n', ' John Doman\n', ' Mike Massaro\n', ' Bill Turnbull\n', ' Roger Peterson\n', ' Jim Beaver\n', ' Lovina Yavari\n']","['Eric Kripke', 'Evan Goldberg', 'Seth Rogen']",['USA'],English,16,8.7
90,BoJack Horseman,"[' Animation', ' Comedy', ' Drama']",6,77 episodes,"TV Series (2014–2020)
","[' Will Arnett\n', ' Amy Sedaris\n', ' Alison Brie\n', ' Aaron Paul\n', ' Paul F. Tompkins\n']",['Raphael Bob-Waksberg'],['USA'],English,16,8.7
91,Les aventures de Sherlock Holmes,"[' Crime', ' Drama', ' Mystery']",2,13 episodes,"TV Series (1984–1985)
","[' Jeremy Brett\n', ' David Burke\n', ' Rosalie Williams\n']",['John Hawkesworth'],['UK'],English,,8.7
92,Justice League Unlimited,"[' Animation', ' Action', ' Adventure', ' Fantasy', ' Sci-Fi']",3,39 episodes,"TV Series (2004–2006)
","[' George Newbern\n', ' Kevin Conroy\n', ' Phil LaMarr\n', ' Carl Lumbly\n', ' Susan Eisenberg\n', ' Clancy Brown\n', ' Michael Rosenbaum\n', ' Maria Canals-Barrera\n', ' Kin Shriner\n', ' CCH Pounder\n']",['Jack Kirby'],['USA'],English,,8.7
